Entry Date,Exit Date,Profit
2023-01-03,2023-01-18,3.4850713121563245e-05
2023-01-04,2023-01-19,3.61361882778365e-05
2023-01-05,2023-01-20,0.00013034680467313576
2023-01-06,2023-01-23,0.0005152634450526778
2023-01-09,2023-01-24,0.0009193755055360107
2023-01-10,2023-01-25,0.0007276407356357578
2023-01-11,2023-01-26,0.001647276905080398
2023-01-12,2023-01-27,0.0034146196365721212
2023-01-13,2023-01-30,0.0010605291834491464
2023-01-17,2023-01-31,0.00180750404297283
2023-01-18,2023-02-01,0.0027910618178966177
2023-01-19,2023-02-02,0.016781498913920927
2023-01-20,2023-02-03,0.04868643671987076
2023-01-23,2023-02-06,0.021574510463085526
2023-01-24,2023-02-07,0.049874559640251906
2023-01-25,2023-02-08,0.0228232445705266
2023-01-26,2023-02-09,0.015371535774268377
2023-01-27,2023-02-10,0.015205194734637332
2023-01-30,2023-02-13,0.042252027882032826
2023-01-31,2023-02-14,0.033347426330631605
2023-02-01,2023-02-15,0.060072976994950615
2023-02-02,2023-02-16,0.024671396162235574
2023-02-03,2023-02-17,-0.01862056446890022
2023-02-06,2023-02-21,-0.013461145381597395
2023-02-07,2023-02-22,-0.04116323019597323
2023-02-08,2023-02-23,-0.011883436467475975
2023-02-09,2023-02-24,-0.012394643221416587
2023-02-10,2023-02-27,-0.01130943768159615
2023-02-13,2023-02-28,-0.03720425737646451
2023-02-14,2023-03-01,-0.03225834653900488
2023-02-15,2023-03-02,-0.05922579450172607
2023-02-16,2023-03-03,-0.022768773517252632
2023-02-17,2023-03-06,0.012878929720177162
2023-02-21,2023-03-07,0.01424220965820089
2023-02-22,2023-03-08,0.023029936660602622
2023-02-23,2023-03-09,0.00514697339082203
2023-02-24,2023-03-10,0.004037993041272495
2023-02-27,2023-03-13,0.00897394569011042
2023-02-28,2023-03-14,0.02436946306490831
2023-03-01,2023-03-15,0.030639348416229496
2023-03-02,2023-03-16,0.06913782831630423
2023-03-03,2023-03-17,0.03981684577425135
2023-03-06,2023-03-20,0.06353894654936251
2023-03-07,2023-03-21,0.1445329307736547
2023-03-08,2023-03-22,0.08447006796818182
2023-03-09,2023-03-23,0.138453753405986
2023-03-10,2023-03-24,0.19663241336901324
2023-03-13,2023-03-27,0.11643601175297133
2023-03-14,2023-03-28,0.08156167365617233
2023-03-15,2023-03-29,0.19935564086486468
2023-03-16,2023-03-30,0.2454254802136953
2023-03-17,2023-03-31,0.4670563732947248
2023-03-20,2023-04-03,0.5616544056642819
2023-03-21,2023-04-04,0.44019975481994544
2023-03-22,2023-04-05,0.3111663318867299
2023-03-23,2023-04-06,0.3437858708006485
2023-03-24,2023-04-10,0.09459802171600928
2023-03-27,2023-04-11,0.10180460121582866
2023-03-28,2023-04-12,0.08527266326106027
2023-03-29,2023-04-13,0.36679696592678146
2023-03-30,2023-04-14,0.24218374343092336
2023-03-31,2023-04-17,0.037070053512683665
2023-04-03,2023-04-18,0.03370304336715069
2023-04-04,2023-04-19,0.2495488396245541
2023-04-05,2023-04-20,0.2938933701158881
2023-04-06,2023-04-21,0.04001499454505636
2023-04-10,2023-04-24,0.27399123548438964
2023-04-11,2023-04-25,0.19454780295706406
2023-04-12,2023-04-26,0.2309604891533897
2023-04-13,2023-04-27,0.3784911558446187
2023-04-14,2023-04-28,0.6263680327716674
2023-04-17,2023-05-01,0.6054390055136557
2023-04-18,2023-05-02,0.29644071018897944
2023-04-19,2023-05-03,-0.02794215216837459
2023-04-20,2023-05-04,-0.09661515981452196
2023-04-21,2023-05-05,1.557437462086309
2023-04-24,2023-05-08,1.5037703471657666
2023-04-25,2023-05-09,1.1915948642361538
2023-04-26,2023-05-10,1.6655109885841055
2023-04-27,2023-05-11,1.1667059269149778
2023-04-28,2023-05-12,0.7048668950217041
2023-05-01,2023-05-15,0.5888279383400454
2023-05-02,2023-05-16,0.7585183561243534
2023-05-03,2023-05-17,1.0947716765373294
2023-05-04,2023-05-18,1.9967928078856485
2023-05-09,2023-05-23,0.005667809779042576
2023-05-12,2023-05-26,0.8594971286516144
2023-05-15,2023-05-30,1.675746806467727
2023-05-16,2023-05-31,1.655043588627263
2023-05-17,2023-06-01,2.7326309717040083
2023-05-23,2023-06-07,2.021656781170955
2023-05-24,2023-06-08,3.198057195155276
2023-09-26,2023-10-10,2.1939574522128655
2023-09-27,2023-10-11,3.1940949156242873
2023-09-28,2023-10-12,3.5887369568125256
2023-09-29,2023-10-13,2.57290646690545
2023-10-03,2023-10-17,1.5610540068874008
2023-10-25,2023-11-08,4.683153854526338
2023-10-26,2023-11-09,5.174325620215629
2023-10-27,2023-11-10,7.575317222970219
2023-10-30,2023-11-13,6.148309479689164
2023-10-31,2023-11-14,7.8189292851682906
