Entry Date,Exit Date,Profit
2023-01-03,2023-01-18,0.00010566866225334521
2023-01-04,2023-01-19,0.00010801880274367615
2023-01-05,2023-01-20,0.0003397797570031799
2023-01-06,2023-01-23,0.001243245463319424
2023-01-09,2023-01-24,0.002118545568476331
2023-01-10,2023-01-25,0.001647974344627389
2023-01-11,2023-01-26,0.0035057016792726615
2023-01-12,2023-01-27,0.006904012920115595
2023-01-13,2023-01-30,0.002437959628626296
2023-01-17,2023-01-31,0.0038397691797013543
2023-01-18,2023-02-01,0.005778160234810235
2023-01-19,2023-02-02,0.03094403790140622
2023-01-20,2023-02-03,0.082479204943299
2023-01-23,2023-02-06,0.038769886210832064
2023-01-24,2023-02-07,0.08385772550746984
2023-01-25,2023-02-08,0.040497048370687405
2023-01-26,2023-02-09,0.027941735159475678
2023-01-27,2023-02-10,0.025812591881528568
2023-01-30,2023-02-13,0.06771610850883159
2023-01-31,2023-02-14,0.05537115660068606
2023-02-01,2023-02-15,0.09580250440351373
2023-02-02,2023-02-16,0.03670702607770293
2023-02-03,2023-02-17,-0.03283956698602131
2023-02-06,2023-02-21,-0.024404945616341545
2023-02-07,2023-02-22,-0.06819866580927691
2023-02-08,2023-02-23,-0.021569995443191936
2023-02-09,2023-02-24,-0.02253088108745166
2023-02-10,2023-02-27,-0.019618370347699865
2023-02-13,2023-02-28,-0.05903476847674405
2023-02-14,2023-03-01,-0.05370663758115757
2023-02-15,2023-03-02,-0.09478275370072747
2023-02-16,2023-03-03,-0.03481302091595828
2023-02-17,2023-03-06,0.019901387307312834
2023-02-21,2023-03-07,0.022998353060481147
2023-02-22,2023-03-08,0.03663405939898079
2023-02-23,2023-03-09,0.008502735152161489
2023-02-24,2023-03-10,0.006746261374647566
2023-02-27,2023-03-13,0.01496589152629102
2023-02-28,2023-03-14,0.039311235161763936
2023-03-01,2023-03-15,0.05052124819612602
2023-03-02,2023-03-16,0.10840286733069243
2023-03-03,2023-03-17,0.06083554430992888
2023-03-06,2023-03-20,0.09569248355536164
2023-03-07,2023-03-21,0.21184090465890382
2023-03-08,2023-03-22,0.12802540411997398
2023-03-09,2023-03-23,0.20326104107645127
2023-03-10,2023-03-24,0.29117930772728895
2023-03-13,2023-03-27,0.17352927181207223
2023-03-14,2023-03-28,0.12469683685442412
2023-03-15,2023-03-29,0.2850781508871947
2023-03-16,2023-03-30,0.35120826609721156
2023-03-17,2023-03-31,0.6481575777488349
2023-03-20,2023-04-03,0.7556212197248113
2023-03-21,2023-04-04,0.5907973625425917
2023-03-22,2023-04-05,0.42319234809737605
2023-03-23,2023-04-06,0.47904785342309797
2023-03-24,2023-04-10,0.1309444010388301
2023-03-27,2023-04-11,0.1416874425915129
2023-03-28,2023-04-12,0.12231583437331306
2023-03-29,2023-04-13,0.4900472704020089
2023-03-30,2023-04-14,0.31640194464095295
2023-03-31,2023-04-17,0.043678962511311425
2023-04-03,2023-04-18,0.046900992919024276
2023-04-04,2023-04-19,0.32579745246375325
2023-04-05,2023-04-20,0.3914727028749887
2023-04-06,2023-04-21,0.0461982739661444
2023-04-10,2023-04-24,0.36141418986537843
2023-04-11,2023-04-25,0.2634143938957312
2023-04-12,2023-04-26,0.30810872909835396
2023-04-13,2023-04-27,0.4861322155392571
2023-04-14,2023-04-28,0.8100166827938224
2023-04-17,2023-05-01,0.7864911068663183
2023-04-18,2023-05-02,0.37575616912895526
2023-04-19,2023-05-03,-0.03276561528186761
2023-04-20,2023-05-04,-0.1327630122947241
2023-04-21,2023-05-05,1.942069689189072
2023-04-24,2023-05-08,1.8767363834320392
2023-04-25,2023-05-09,1.5289862480373202
2023-04-26,2023-05-10,2.0906334301759664
2023-04-27,2023-05-11,1.4437865429456522
2023-04-28,2023-05-12,0.7819977649397529
2023-05-01,2023-05-15,0.6512119291779541
2023-05-02,2023-05-16,0.8794701125015933
2023-05-03,2023-05-17,1.2780897698630156
2023-05-04,2023-05-18,2.370128458120462
2023-09-27,2023-10-11,3.631398974944709
2023-09-28,2023-10-12,4.060959586995111
2023-09-29,2023-10-13,2.936577243748573
2023-10-25,2023-11-08,5.242387944602825
2023-10-26,2023-11-09,5.858547783927261
2023-10-27,2023-11-10,8.272787227692284
2023-10-30,2023-11-13,6.695121085944145
2023-10-31,2023-11-14,8.452168136370986
